id;match_date_time;closing_bets_date_time;tournament_group;home_team;away_team
1;2016-06-10 20:00:00;2016-06-09 21:00:00;A;7;16
2;2016-06-11 14:00:00;2016-06-10 21:00:00;A;1;21
3;2016-06-11 17:00:00;2016-06-10 21:00:00;B;24;18
4;2016-06-11 20:00:00;2016-06-10 21:00:00;B;6;17
5;2016-06-12 14:00:00;2016-06-11 21:00:00;D;22;4
6;2016-06-12 17:00:00;2016-06-11 21:00:00;C;13;12
7;2016-06-12 20:00:00;2016-06-11 21:00:00;C;8;23
8;2016-06-13 14:00:00;2016-06-12 21:00:00;D;19;5
9;2016-06-13 17:00:00;2016-06-12 21:00:00;E;15;20
10;2016-06-13 20:00:00;2016-06-12 21:00:00;E;3;11
11;2016-06-14 17:00:00;2016-06-13 21:00:00;F;2;9
12;2016-06-14 20:00:00;2016-06-13 21:00:00;F;14;10
13;2016-06-15 14:00:00;2016-06-14 21:00:00;B;17;18
14;2016-06-15 17:00:00;2016-06-14 21:00:00;A;16;21
15;2016-06-15 20:00:00;2016-06-14 21:00:00;A;7;1
16;2016-06-16 14:00:00;2016-06-15 21:00:00;B;6;24
17;2016-06-16 17:00:00;2016-06-15 21:00:00;C;23;12
18;2016-06-16 20:00:00;2016-06-15 21:00:00;C;8;13
19;2016-06-17 14:00:00;2016-06-16 21:00:00;E;11;20
20;2016-06-17 17:00:00;2016-06-16 21:00:00;D;5;4
21;2016-06-17 20:00:00;2016-06-16 21:00:00;D;19;22
22;2016-06-18 14:00:00;2016-06-17 21:00:00;E;3;15
23;2016-06-18 17:00:00;2016-06-17 21:00:00;F;10;9
24;2016-06-18 20:00:00;2016-06-17 21:00:00;F;14;2
25;2016-06-19 20:00:00;2016-06-18 21:00:00;A;16;1
26;2016-06-19 20:00:00;2016-06-18 21:00:00;A;21;7
27;2016-06-20 20:00:00;2016-06-19 21:00:00;B;17;24
28;2016-06-20 20:00:00;2016-06-19 21:00:00;B;18;6
29;2016-06-21 17:00:00;2016-06-20 21:00:00;C;23;13
30;2016-06-21 17:00:00;2016-06-20 21:00:00;E;12;8
31;2016-06-21 20:00:00;2016-06-20 21:00:00;D;5;22
32;2016-06-21 20:00:00;2016-06-20 21:00:00;D;4;19
33;2016-06-22 17:00:00;2016-06-21 21:00:00;F;10;2
34;2016-06-22 17:00:00;2016-06-21 21:00:00;F;9;14
35;2016-06-22 20:00:00;2016-06-21 21:00:00;E;11;15
36;2016-06-22 20:00:00;2016-06-21 21:00:00;E;20;3
37;2016-06-25 14:00:00;2016-06-24 21:00:00;1/8 Final;21;13
38;2016-06-25 17:00:00;2016-06-24 21:00:00;1/8 Final;24;12
39;2016-06-25 20:00:00;2016-06-24 21:00:00;1/8 Final;4;14
40;2016-06-26 14:00:00;2016-06-25 21:00:00;1/8 Final;7;15
41;2016-06-26 17:00:00;2016-06-25 21:00:00;1/8 Final;8;18
42;2016-06-26 20:00:00;2016-06-25 21:00:00;1/8 Final;9;3
43;2016-06-27 17:00:00;2016-06-26 21:00:00;1/8 Final;11;19
44;2016-06-27 20:00:00;2016-06-26 21:00:00;1/8 Final;6;10
45;2016-06-30 20:00:00;2016-06-29 21:00:00;1/4 Final;13;14
46;2016-07-01 20:00:00;2016-06-30 21:00:00;1/4 Final;24;3
47;2016-07-02 20:00:00;2016-07-01 21:00:00;1/4 Final;8;11
48;2016-07-03 20:00:00;2016-07-02 21:00:00;1/4 Final;7;10
49;2016-07-06 20:00:00;2016-07-05 21:00:00;1/2 Final;14;24
50;2016-07-07 20:00:00;2016-07-06 21:00:00;1/2 Final;8;7
51;2016-07-10 20:00:00;2016-07-09 21:00:00;FINAL;14;7
