id;Name_EN;Name_PT;Initials
1;"Albania";"Albania";"XXX"
2;"Austria";"Austria";"XXX"
3;"Belgium";"Bélgica";"XXX"
4;"Croatia";"Croácia";"XXX"
5;"Czech Republic";"República Checa";"XXX"
6;"England";"Inglaterra";"XXX"
7;"France";"França";"XXX"
8;"Germany";"Alemanha";"XXX"
9;"Hungary";"Hungria";"XXX"
10;"Iceland";"Islândia";"XXX"
11;"Italy";"Itália";"XXX"
12;"Northern Ireland";"Irlanda Norte";"XXX"
13;"Poland";"Polónia";"XXX"
14;"Portugal";"Portugal";"XXX"
15;"Rep. Ireland";"Rep. Irlanda";"XXX"
16;"Romania";"Roménia";"XXX"
17;"Russia";"Rússia";"XXX"
18;"Slovakia";"Eslováquia";"XXX"
19;"Spain";"Espanha";"XXX"
20;"Sweden";"Suécia";"XXX"
21;"Switzerland";"Suíça";"XXX"
22;"Turkey";"Turquia";"XXX"
23;"Ukraine";"Ucrânia";"XXX"
24;"Wales";"País de Gales";"XXX"
